en,fr,it,de,es,ko,kana
[~0],[~0],[~0],[~0],[~0],[~0],[~0]
[~1],L'extérieur de la Tour,[~1],[~1],[~1],[~1],[~1]
[~2],Une petite route côtière ressemblant étrangement à un sentier lointain.,[~2],[~2],[~2],[~2],[~2]
[~3],,[~3],[~3],[~3],[~3],[~3]
"La zone centrale de la Tour, où se trouvent toutes les commodités.","La zone centrale de la Tour, où se trouvent toutes les commodités.","La zone centrale de la Tour, où se trouvent toutes les commodités.","La zone centrale de la Tour, où se trouvent toutes les commodités.","La zone centrale de la Tour, où se trouvent toutes les commodités.","La zone centrale de la Tour, où se trouvent toutes les commodités.","La zone centrale de la Tour, où se trouvent toutes les commodités."
,Cette petite vallée verdoyante est traversée par une rivière au courant calme.,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,

















































































































































































































































































































































,E_X00Y00,E_X00Y00,E_X00Y00,E_X00Y00,E_X00Y00,E_X00Y00,
,E_X00Y01,E_X00Y01,E_X00Y01,E_X00Y01,E_X00Y01,E_X00Y01,
,E_X00Y02,E_X00Y02,E_X00Y02,E_X00Y02,E_X00Y02,E_X00Y02,
,E_X00Y03,E_X00Y03,E_X00Y03,E_X00Y03,E_X00Y03,E_X00Y03,
,E_X00Y04,E_X00Y04,E_X00Y04,E_X00Y04,E_X00Y04,E_X00Y04,
,E_X00Y05,E_X00Y05,E_X00Y05,E_X00Y05,E_X00Y05,E_X00Y05,
,E_X00Y06,E_X00Y06,E_X00Y06,E_X00Y06,E_X00Y06,E_X00Y06,
,E_X00Y07,E_X00Y07,E_X00Y07,E_X00Y07,E_X00Y07,E_X00Y07,
,E_X00Y08,E_X00Y08,E_X00Y08,E_X00Y08,E_X00Y08,E_X00Y08,
,E_X00Y09,E_X00Y09,E_X00Y09,E_X00Y09,E_X00Y09,E_X00Y09,
,E_X00Y10,E_X00Y10,E_X00Y10,E_X00Y10,E_X00Y10,E_X00Y10,
,E_X00Y11,E_X00Y11,E_X00Y11,E_X00Y11,E_X00Y11,E_X00Y11,
,E_X00Y12,E_X00Y12,E_X00Y12,E_X00Y12,E_X00Y12,E_X00Y12,
,E_X00Y13,E_X00Y13,E_X00Y13,E_X00Y13,E_X00Y13,E_X00Y13,
,E_X00Y14,E_X00Y14,E_X00Y14,E_X00Y14,E_X00Y14,E_X00Y14,
,E_X00Y15,E_X00Y15,E_X00Y15,E_X00Y15,E_X00Y15,E_X00Y15,
,E_X01Y00,E_X01Y00,E_X01Y00,E_X01Y00,E_X01Y00,E_X01Y00,
,E_X01Y01,E_X01Y01,E_X01Y01,E_X01Y01,E_X01Y01,E_X01Y01,
,E_X01Y02,E_X01Y02,E_X01Y02,E_X01Y02,E_X01Y02,E_X01Y02,
,E_X01Y03,E_X01Y03,E_X01Y03,E_X01Y03,E_X01Y03,E_X01Y03,
,E_X01Y04,E_X01Y04,E_X01Y04,E_X01Y04,E_X01Y04,E_X01Y04,
,E_X01Y05,E_X01Y05,E_X01Y05,E_X01Y05,E_X01Y05,E_X01Y05,
,E_X01Y06,E_X01Y06,E_X01Y06,E_X01Y06,E_X01Y06,E_X01Y06,
,E_X01Y07,E_X01Y07,E_X01Y07,E_X01Y07,E_X01Y07,E_X01Y07,
,E_X01Y08,E_X01Y08,E_X01Y08,E_X01Y08,E_X01Y08,E_X01Y08,
,E_X01Y09,E_X01Y09,E_X01Y09,E_X01Y09,E_X01Y09,E_X01Y09,
,E_X01Y10,E_X01Y10,E_X01Y10,E_X01Y10,E_X01Y10,E_X01Y10,
,E_X01Y11,E_X01Y11,E_X01Y11,E_X01Y11,E_X01Y11,E_X01Y11,
,E_X01Y12,E_X01Y12,E_X01Y12,E_X01Y12,E_X01Y12,E_X01Y12,
,E_X01Y13,E_X01Y13,E_X01Y13,E_X01Y13,E_X01Y13,E_X01Y13,
,E_X01Y14,E_X01Y14,E_X01Y14,E_X01Y14,E_X01Y14,E_X01Y14,
,E_X01Y15,E_X01Y15,E_X01Y15,E_X01Y15,E_X01Y15,E_X01Y15,
,E_X02Y00,E_X02Y00,E_X02Y00,E_X02Y00,E_X02Y00,E_X02Y00,
,E_X02Y01,E_X02Y01,E_X02Y01,E_X02Y01,E_X02Y01,E_X02Y01,
,E_X02Y02,E_X02Y02,E_X02Y02,E_X02Y02,E_X02Y02,E_X02Y02,
,E_X02Y03,E_X02Y03,E_X02Y03,E_X02Y03,E_X02Y03,E_X02Y03,
,E_X02Y04,E_X02Y04,E_X02Y04,E_X02Y04,E_X02Y04,E_X02Y04,
,E_X02Y05,E_X02Y05,E_X02Y05,E_X02Y05,E_X02Y05,E_X02Y05,
,E_X02Y06,E_X02Y06,E_X02Y06,E_X02Y06,E_X02Y06,E_X02Y06,
,E_X02Y07,E_X02Y07,E_X02Y07,E_X02Y07,E_X02Y07,E_X02Y07,
,E_X02Y08,E_X02Y08,E_X02Y08,E_X02Y08,E_X02Y08,E_X02Y08,
,E_X02Y09,E_X02Y09,E_X02Y09,E_X02Y09,E_X02Y09,E_X02Y09,
,E_X02Y10,E_X02Y10,E_X02Y10,E_X02Y10,E_X02Y10,E_X02Y10,
,E_X02Y11,E_X02Y11,E_X02Y11,E_X02Y11,E_X02Y11,E_X02Y11,
,E_X02Y12,E_X02Y12,E_X02Y12,E_X02Y12,E_X02Y12,E_X02Y12,
,E_X02Y13,E_X02Y13,E_X02Y13,E_X02Y13,E_X02Y13,E_X02Y13,
,E_X02Y14,E_X02Y14,E_X02Y14,E_X02Y14,E_X02Y14,E_X02Y14,
,E_X02Y15,E_X02Y15,E_X02Y15,E_X02Y15,E_X02Y15,E_X02Y15,
,E_X03Y00,E_X03Y00,E_X03Y00,E_X03Y00,E_X03Y00,E_X03Y00,
,E_X03Y01,E_X03Y01,E_X03Y01,E_X03Y01,E_X03Y01,E_X03Y01,
,E_X03Y02,E_X03Y02,E_X03Y02,E_X03Y02,E_X03Y02,E_X03Y02,
,E_X03Y03,E_X03Y03,E_X03Y03,E_X03Y03,E_X03Y03,E_X03Y03,
,E_X03Y04,E_X03Y04,E_X03Y04,E_X03Y04,E_X03Y04,E_X03Y04,
,E_X03Y05,E_X03Y05,E_X03Y05,E_X03Y05,E_X03Y05,E_X03Y05,
,E_X03Y06,E_X03Y06,E_X03Y06,E_X03Y06,E_X03Y06,E_X03Y06,
,E_X03Y07,E_X03Y07,E_X03Y07,E_X03Y07,E_X03Y07,E_X03Y07,
,E_X03Y08,E_X03Y08,E_X03Y08,E_X03Y08,E_X03Y08,E_X03Y08,
,E_X03Y09,E_X03Y09,E_X03Y09,E_X03Y09,E_X03Y09,E_X03Y09,
,E_X03Y10,E_X03Y10,E_X03Y10,E_X03Y10,E_X03Y10,E_X03Y10,
,E_X03Y11,E_X03Y11,E_X03Y11,E_X03Y11,E_X03Y11,E_X03Y11,
,E_X03Y12,E_X03Y12,E_X03Y12,E_X03Y12,E_X03Y12,E_X03Y12,
,E_X03Y13,E_X03Y13,E_X03Y13,E_X03Y13,E_X03Y13,E_X03Y13,
,E_X03Y14,E_X03Y14,E_X03Y14,E_X03Y14,E_X03Y14,E_X03Y14,
,E_X03Y15,E_X03Y15,E_X03Y15,E_X03Y15,E_X03Y15,E_X03Y15,
,E_X04Y00,E_X04Y00,E_X04Y00,E_X04Y00,E_X04Y00,E_X04Y00,
,E_X04Y01,E_X04Y01,E_X04Y01,E_X04Y01,E_X04Y01,E_X04Y01,
,E_X04Y02,E_X04Y02,E_X04Y02,E_X04Y02,E_X04Y02,E_X04Y02,
,E_X04Y03,E_X04Y03,E_X04Y03,E_X04Y03,E_X04Y03,E_X04Y03,
,E_X04Y04,E_X04Y04,E_X04Y04,E_X04Y04,E_X04Y04,E_X04Y04,
,E_X04Y05,E_X04Y05,E_X04Y05,E_X04Y05,E_X04Y05,E_X04Y05,
,E_X04Y06,E_X04Y06,E_X04Y06,E_X04Y06,E_X04Y06,E_X04Y06,
,E_X04Y07,E_X04Y07,E_X04Y07,E_X04Y07,E_X04Y07,E_X04Y07,
,E_X04Y08,E_X04Y08,E_X04Y08,E_X04Y08,E_X04Y08,E_X04Y08,
,E_X04Y09,E_X04Y09,E_X04Y09,E_X04Y09,E_X04Y09,E_X04Y09,
,E_X04Y10,E_X04Y10,E_X04Y10,E_X04Y10,E_X04Y10,E_X04Y10,
,E_X04Y11,E_X04Y11,E_X04Y11,E_X04Y11,E_X04Y11,E_X04Y11,
,E_X04Y12,E_X04Y12,E_X04Y12,E_X04Y12,E_X04Y12,E_X04Y12,
,E_X04Y13,E_X04Y13,E_X04Y13,E_X04Y13,E_X04Y13,E_X04Y13,
,E_X04Y14,E_X04Y14,E_X04Y14,E_X04Y14,E_X04Y14,E_X04Y14,
,E_X04Y15,E_X04Y15,E_X04Y15,E_X04Y15,E_X04Y15,E_X04Y15,
,E_X05Y00,E_X05Y00,E_X05Y00,E_X05Y00,E_X05Y00,E_X05Y00,
,E_X05Y01,E_X05Y01,E_X05Y01,E_X05Y01,E_X05Y01,E_X05Y01,
,E_X05Y02,E_X05Y02,E_X05Y02,E_X05Y02,E_X05Y02,E_X05Y02,
,E_X05Y03,E_X05Y03,E_X05Y03,E_X05Y03,E_X05Y03,E_X05Y03,
,E_X05Y04,E_X05Y04,E_X05Y04,E_X05Y04,E_X05Y04,E_X05Y04,
,E_X05Y05,E_X05Y05,E_X05Y05,E_X05Y05,E_X05Y05,E_X05Y05,
,E_X05Y06,E_X05Y06,E_X05Y06,E_X05Y06,E_X05Y06,E_X05Y06,
,E_X05Y07,E_X05Y07,E_X05Y07,E_X05Y07,E_X05Y07,E_X05Y07,
,E_X05Y08,E_X05Y08,E_X05Y08,E_X05Y08,E_X05Y08,E_X05Y08,
,E_X05Y09,E_X05Y09,E_X05Y09,E_X05Y09,E_X05Y09,E_X05Y09,
,E_X05Y10,E_X05Y10,E_X05Y10,E_X05Y10,E_X05Y10,E_X05Y10,
,E_X05Y11,E_X05Y11,E_X05Y11,E_X05Y11,E_X05Y11,E_X05Y11,
,E_X05Y12,E_X05Y12,E_X05Y12,E_X05Y12,E_X05Y12,E_X05Y12,
